Customer ID,RecommendedProducts
C466,"['P020', 'P013', 'P042', 'P010', 'P005']"
C467,"['P016', 'P009', 'P027', 'P039', 'P048']"
C468,"['P042', 'P033', 'P028', 'P011', 'P030']"
C469,"['P003', 'P040', 'P050', 'P026', 'P045']"
C470,"['P048', 'P046', 'P035', 'P043', 'P013']"
C471,"['P022', 'P042', 'P010', 'P048', 'P002']"
C472,"['P020', 'P012', 'P045', 'P025', 'P009']"
C473,"['P016', 'P012', 'P002', 'P037', 'P009']"
C474,"['P020', 'P022', 'P035', 'P017', 'P039']"
C475,"['P015', 'P031', 'P004', 'P048', 'P018']"
C476,"['P035', 'P002', 'P039', 'P006', 'P019']"
C477,"['P003', 'P030', 'P047', 'P031', 'P007']"
C478,"['P018', 'P029', 'P023', 'P001', 'P014']"
C479,"['P027', 'P012', 'P041', 'P034', 'P016']"
C480,"['P013', 'P012', 'P008', 'P026', 'P006']"
C481,"['P045', 'P040', 'P044', 'P003', 'P030']"
C482,"['P033', 'P036', 'P042', 'P001', 'P045']"
C483,"['P048', 'P004', 'P010', 'P014', 'P002']"
C484,"['P030', 'P042', 'P050', 'P049', 'P004']"
C485,"['P045', 'P005', 'P006', 'P004', 'P012']"
C486,"['P007', 'P012', 'P042', 'P050', 'P029']"
C487,"['P035', 'P042', 'P001', 'P009', 'P031']"
C488,"['P048', 'P036', 'P035', 'P023', 'P029']"
C489,"['P037', 'P012', 'P024', 'P019', 'P006']"
C490,"['P018', 'P014', 'P047', 'P012', 'P006']"
C491,"['P012', 'P039', 'P008', 'P045', 'P028']"
C492,"['P045', 'P023', 'P020', 'P006', 'P010']"
C493,"['P048', 'P023', 'P004', 'P015', 'P014']"
C494,"['P016', 'P022', 'P015', 'P036', 'P002']"
C495,"['P007', 'P046', 'P024', 'P025', 'P008']"
C496,"['P009', 'P022', 'P039', 'P021', 'P042']"
C497,"['P009', 'P014', 'P041', 'P038', 'P004']"
C498,"['P007', 'P006', 'P037', 'P031', 'P035']"
C499,"['P015', 'P043', 'P037', 'P010', 'P026']"
C500,"['P036', 'P021', 'P016', 'P002', 'P010']"
